instance,num_players,Delta,num_patients_label,target_num_patients,actual_vertices,available_altruists,tu_altruists,tu_in_core,tu_source,strong_altruists,strong_in_core,strong_source,weak_altruists,weak_in_core,weak_source,lex_altruists,lex_in_core,lex_transplants,lex_cycle_count
genxml-0.xml,5,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,30.0,15.0
genxml-0.xml,10,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,26.0,13.0
genxml-0.xml,15,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,34.0,17.0
genxml-0.xml,20,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,40.0,20.0
genxml-0.xml,30,2,100,100,100,53,1,True,computed,2,True,computed,0,True,computed,0,True,26.0,13.0
genxml-0.xml,5,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,57.0,22.0
genxml-0.xml,10,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,73.0,28.0
genxml-0.xml,15,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,70.0,28.0
genxml-0.xml,20,3,100,100,100,53,1,True,computed,0,True,computed,0,True,inferred_from_strong_zero,1,True,51.0,20.0
genxml-0.xml,30,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,55.0,21.0
genxml-0.xml,5,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,108.0,54.0
genxml-0.xml,10,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,118.0,59.0
genxml-0.xml,15,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,108.0,54.0
genxml-0.xml,20,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,110.0,55.0
genxml-0.xml,30,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,88.0,44.0
genxml-0.xml,5,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,155.0,57.0
genxml-0.xml,10,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,153.0,60.0
genxml-0.xml,15,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,161.0,59.0
genxml-0.xml,20,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,177.0,66.0
genxml-0.xml,30,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,154.0,56.0
genxml-1.xml,5,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,28.0,14.0
genxml-1.xml,10,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,34.0,17.0
genxml-1.xml,15,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,22.0,11.0
genxml-1.xml,20,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,36.0,18.0
genxml-1.xml,30,2,100,100,100,53,1,True,computed,1,True,computed,0,True,computed,1,True,42.0,27.0
genxml-1.xml,5,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,45.0,17.0
genxml-1.xml,10,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,58.0,21.0
genxml-1.xml,15,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,66.0,24.0
genxml-1.xml,20,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,54.0,20.0
genxml-1.xml,30,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,50.0,19.0
genxml-1.xml,5,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,76.0,38.0
genxml-1.xml,10,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,98.0,49.0
genxml-1.xml,15,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,90.0,45.0
genxml-1.xml,20,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,90.0,45.0
genxml-1.xml,30,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,88.0,44.0
genxml-1.xml,5,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,140.0,51.0
genxml-1.xml,10,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,138.0,51.0
genxml-1.xml,15,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,152.0,57.0
genxml-1.xml,20,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,135.0,48.0
genxml-1.xml,30,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,132.0,48.0
genxml-2.xml,5,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,26.0,13.0
genxml-2.xml,10,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,36.0,18.0
genxml-2.xml,15,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,36.0,18.0
genxml-2.xml,20,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,34.0,17.0
genxml-2.xml,30,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,34.0,17.0
genxml-2.xml,5,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,61.0,24.0
genxml-2.xml,10,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,67.0,24.0
genxml-2.xml,15,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,50.0,19.0
genxml-2.xml,20,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,69.0,25.0
genxml-2.xml,30,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,67.0,27.0
genxml-2.xml,5,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,114.0,57.0
genxml-2.xml,10,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,96.0,48.0
genxml-2.xml,15,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,78.0,39.0
genxml-2.xml,20,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,120.0,60.0
genxml-2.xml,30,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,118.0,59.0
genxml-2.xml,5,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,151.0,55.0
genxml-2.xml,10,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,139.0,54.0
genxml-2.xml,15,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,161.0,59.0
genxml-2.xml,20,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,151.0,57.0
genxml-2.xml,30,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,159.0,60.0
genxml-3.xml,5,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,38.0,19.0
genxml-3.xml,10,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,36.0,18.0
genxml-3.xml,15,2,100,100,100,53,1,True,computed,1,True,computed,0,True,computed,0,True,24.0,12.0
genxml-3.xml,20,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,2,True,61.0,41.0
genxml-3.xml,30,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,44.0,22.0
genxml-3.xml,5,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,49.0,19.0
genxml-3.xml,10,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,44.0,16.0
genxml-3.xml,15,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,60.0,23.0
genxml-3.xml,20,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,50.0,18.0
genxml-3.xml,30,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,57.0,22.0
genxml-3.xml,5,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,94.0,47.0
genxml-3.xml,10,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,94.0,47.0
genxml-3.xml,15,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,92.0,46.0
genxml-3.xml,20,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,96.0,48.0
genxml-3.xml,30,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,86.0,43.0
genxml-3.xml,5,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,139.0,52.0
genxml-3.xml,10,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,137.0,50.0
genxml-3.xml,15,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,153.0,56.0
genxml-3.xml,20,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,156.0,57.0
genxml-3.xml,30,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,151.0,54.0
genxml-4.xml,5,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,26.0,13.0
genxml-4.xml,10,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,36.0,18.0
genxml-4.xml,15,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,28.0,14.0
genxml-4.xml,20,2,100,100,100,53,2,True,computed,5,True,computed,0,True,computed,1,True,28.0,15.0
genxml-4.xml,30,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,34.0,17.0
genxml-4.xml,5,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,47.0,18.0
genxml-4.xml,10,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,50.0,18.0
genxml-4.xml,15,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,63.0,25.0
genxml-4.xml,20,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,69.0,26.0
genxml-4.xml,30,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,67.0,26.0
genxml-4.xml,5,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,108.0,54.0
genxml-4.xml,10,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,104.0,52.0
genxml-4.xml,15,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,116.0,58.0
genxml-4.xml,20,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,118.0,59.0
genxml-4.xml,30,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,98.0,49.0
genxml-4.xml,5,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,166.0,61.0
genxml-4.xml,10,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,150.0,54.0
genxml-4.xml,15,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,137.0,51.0
genxml-4.xml,20,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,143.0,55.0
genxml-4.xml,30,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,146.0,53.0
genxml-5.xml,5,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,30.0,15.0
genxml-5.xml,10,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,26.0,13.0
genxml-5.xml,15,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,28.0,14.0
genxml-5.xml,20,2,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,40.0,20.0
genxml-5.xml,30,2,100,100,100,53,1,True,computed,1,True,computed,0,True,computed,3,True,58.0,44.0
genxml-5.xml,5,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,43.0,17.0
genxml-5.xml,10,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,63.0,24.0
genxml-5.xml,15,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,46.0,17.0
genxml-5.xml,20,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,55.0,22.0
genxml-5.xml,30,3,100,100,100,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,49.0,18.0
genxml-5.xml,5,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,74.0,37.0
genxml-5.xml,10,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,96.0,48.0
genxml-5.xml,15,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,92.0,46.0
genxml-5.xml,20,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,90.0,45.0
genxml-5.xml,30,2,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,98.0,49.0
genxml-5.xml,5,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,152.0,56.0
genxml-5.xml,10,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,135.0,51.0
genxml-5.xml,15,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,135.0,49.0
genxml-5.xml,20,3,200,200,200,53,0,True,computed,0,True,inferred_from_tu_zero,0,True,inferred_from_strong_zero,0,True,138.0,51.0
